ID,DayClassification,DayClassificationID
928,Weekday,928
929,Weekday,929
930,Weekend,930
931,Weekend,931
932,Weekend,932
933,Weekend,933
934,Weekend,934
935,Weekend,935
936,Weekend,936
937,Weekend,937
938,Weekend,938
939,Weekend,939
940,Weekend,940
941,Weekend,941
942,Weekend,942
943,Weekend,943
944,Weekend,944
945,Weekend,945
946,Weekday,946
947,Weekday,947
948,Weekday,948
949,Weekday,949
950,Weekday,950
951,Weekday,951
952,Weekday,952
953,Weekday,953
954,Weekday,954
955,Weekday,955
956,Weekday,956
957,Weekday,957
958,Weekday,958
959,Weekday,959
960,Weekday,960
961,Weekday,961
962,Weekday,962
963,Weekday,963
964,Weekday,964
965,Weekday,965
966,Weekday,966
967,Weekday,967
968,Weekday,968
969,Weekday,969
970,Weekday,970
971,Weekday,971
972,Weekday,972
973,Weekday,973
974,Weekday,974
975,Weekday,975
976,Weekday,976
977,Weekday,977
978,Weekday,978
979,Weekday,979
980,Weekday,980
981,Weekday,981
982,Weekday,982
983,Weekday,983
984,Weekday,984
985,Weekday,985
986,Weekday,986
987,Weekday,987
988,Weekday,988
989,Weekday,989
990,Weekday,990
991,Weekday,991
992,Weekday,992
993,Weekday,993
994,Weekday,994
995,Weekday,995
996,Weekday,996
997,Weekday,997
998,Weekend,998
999,Weekend,999
1000,Weekday,1000
1001,Weekday,1001
1002,Weekday,1002
1003,Weekday,1003
1004,Weekday,1004
1005,Weekday,1005
1006,Weekday,1006
1007,Weekday,1007
1008,Weekday,1008
1009,Weekday,1009
1010,Weekday,1010
1011,Weekend,1011
1012,Weekend,1012
1013,Weekend,1013
1014,Weekend,1014
1015,Weekend,1015
1016,Weekend,1016
1017,Weekend,1017
1018,Weekend,1018
1019,Weekend,1019
1020,Weekend,1020
1021,Weekend,1021
1022,Weekend,1022
1023,Weekend,1023
1024,Weekend,1024
1025,Weekend,1025
1026,Weekend,1026
1027,Weekend,1027
1028,Weekend,1028
1029,Weekend,1029
1030,Weekend,1030
1031,Weekend,1031
1032,Weekend,1032
1033,Weekend,1033
1034,Weekend,1034
1035,Weekend,1035
1036,Weekend,1036
1037,Weekend,1037
1038,Weekend,1038
1039,Weekend,1039
1040,Weekend,1040
1041,Weekend,1041
1042,Weekend,1042
1043,Weekend,1043
1044,Weekend,1044
1045,Weekend,1045
1046,Weekday,1046
1047,Weekday,1047
1048,Weekday,1048
1049,Weekday,1049
1050,Weekday,1050
1051,Weekday,1051
1052,Weekday,1052
1053,Weekday,1053
1054,Weekday,1054
1055,Weekday,1055
1056,Weekday,1056
1057,Weekday,1057
1058,Weekday,1058
1059,Weekday,1059
1060,Weekday,1060
1061,Weekday,1061
1062,Weekday,1062
1063,Weekday,1063
1064,Weekday,1064
1065,Weekday,1065
1066,Weekday,1066
1067,Weekday,1067
1068,Weekday,1068
1069,Weekday,1069
1070,Weekday,1070
